article_name,country,revision_id,population,article_quality
Gladys Lundwe,zambia,757566606,17.7,Stub
Mwamba Luchembe,zambia,764848643,17.7,Stub
Thandiwe Banda,zambia,768166426,17.7,Start
Sylvester Chisembele,zambia,776082926,17.7,C
Victoria Kalima,zambia,776530837,17.7,Start
Margaret Mwanakatwe,zambia,779747587,17.7,Start
Nkandu Luo,zambia,779747961,17.7,Start
Susan Nakazwe,zambia,779748181,17.7,Start
Catherine Namugala,zambia,779748285,17.7,Start
Edith Nawakwi,zambia,779748522,17.7,Start
Joyce Nonde-Simukoko,zambia,779748628,17.7,Start
Gladys Nyirongo,zambia,779748837,17.7,C
Vera Tembo,zambia,779748931,17.7,C
Ompie Nkumbula-Lieventhal,zambia,790011468,17.7,Stub
Besnat Jere,zambia,791225634,17.7,Stub
Esther Lungu,zambia,792296625,17.7,C
Inonge Wina,zambia,794006130,17.7,Start
Maureen Mwanawasa,zambia,795820299,17.7,Start
First Lady of Zambia,zambia,796467991,17.7,Start
Jean Kapata,zambia,797469872,17.7,Start
Peter Sinkamba,zambia,799512628,17.7,Start
Gwendoline Konie,zambia,803304465,17.7,Start
Kenneth Kaunda,zambia,805875783,17.7,C
Inonge Mbikusita-Lewanika,zambia,805993958,17.7,Start
Yobert K. Shamapande,zambia,806345311,17.7,C
Bir I of Kanem,chad,355319463,15.4,Stub
Abdullah II of Kanem,chad,498683267,15.4,Stub
Salmama II of Kanem,chad,565745353,15.4,Stub
Kuri I of Kanem,chad,565745365,15.4,Stub
Mohammed I of Kanem,chad,565745375,15.4,Stub
Kuri II of Kanem,chad,669719757,15.4,Stub
Bir II of Kanem,chad,670893206,15.4,Stub
Mahamat Hissene,chad,693055898,15.4,Stub
Othman I,chad,705432607,15.4,Stub
Alphonse Kotiga,chad,707593108,15.4,Stub
Oueddei Kichidemi,chad,708346649,15.4,Start
Dunama I,chad,710675092,15.4,Stub
Ahmad (Kanem-Bornu king),chad,711388267,15.4,Stub
Djibrine Kerallah,chad,712971263,15.4,Stub
Maurice Ngangtar,chad,712971315,15.4,Stub
Idriss Miskine,chad,712971738,15.4,Stub
Laoukein Kourayo Médard,chad,716886170,15.4,Stub
Nadji Madou,chad,716886788,15.4,Stub
Noël Milarew Odingar,chad,716891799,15.4,Start
Yaya Dillo Djérou,chad,717733209,15.4,Stub
Acheikh Ibn-Oumar,chad,719821590,15.4,Start
Quatre Sou Quatre,chad,720066754,15.4,Stub
Ali Gazi,chad,722563340,15.4,Stub
Mahamat Djarma Khatir,chad,725132042,15.4,Stub
Dunama IX Lefiami,chad,731749611,15.4,Stub
Dawud of Kanem,chad,736550266,15.4,Stub
Ahmed Koulamallah,chad,738855197,15.4,Start
Abbo Nassour,chad,741369486,15.4,B
Abdel Kader Baba-Laddé,chad,742213176,15.4,Stub
Hummay,chad,747271475,15.4,Stub
Ngarlejy Yorongar,chad,751304544,15.4,C
Saleh Kezabo,chad,751380073,15.4,Stub
Bourkou Louise Kabo,chad,757072468,15.4,Start
Brahim Koulamallah,chad,757802238,15.4,Stub
Saadie Goukouni Weddeye,chad,757842614,15.4,Start
Mahamoud Adam Béchir,chad,762579466,15.4,Start
Kalthouma Nguembang,chad,762816132,15.4,Stub
Djidingar Dono Ngardoum,chad,764133533,15.4,Stub
Template:ChadPMs,chad,768123377,15.4,Stub
Template:ChadPres,chad,770535091,15.4,Stub
Youssouf Saleh Abbas,chad,771052289,15.4,B
Koibla Djimasta,chad,774223245,15.4,Start
Nassour Guelendouksia Ouaido,chad,774223248,15.4,C
Joseph Brahim Seid,chad,777478442,15.4,Stub
Joseph Yodoyman,chad,777550078,15.4,Start
Antoine Bangui,chad,782638002,15.4,Start
Ibrahim IV of Bornu,chad,785614014,15.4,Stub
Hadjé Halimé,chad,786449636,15.4,C
Youssouf Togoïmi,chad,787390241,15.4,Start
Adoum Younousmi,chad,787719236,15.4,Start
François Tombalbaye,chad,787738541,15.4,C
Ahmat Hassaballah Soubiane,chad,787910771,15.4,Stub
Ahmad Allam-Mi,chad,787921293,15.4,Start
Laotegguelnodji Koumtog,chad,788009613,15.4,Stub
Mahamat Ali Adoum,chad,788014671,15.4,Start
Mahamat Saleh Annadif,chad,788658822,15.4,C
Mohamed Bechir-Sow,chad,788827248,15.4,Stub
Gontchomé Sahoulba,chad,788828388,15.4,Start
Gabriel Lisette,chad,788828519,15.4,Start
Ali II of Bornu,chad,788999424,15.4,Stub
Arabi El Goni,chad,789126126,15.4,Stub
Dunama Dabbalemi,chad,789935196,15.4,Start
Idris Alooma,chad,792734868,15.4,Start
Mahamat Nouri,chad,792954115,15.4,FA
Idriss Ndele Moussa,chad,796654025,15.4,Stub
Mbaydoum Simeon,chad,796690873,15.4,Stub
Ngarindo Milengar,chad,796700718,15.4,Stub
List of Prime Ministers of Chad,chad,797747674,15.4,Start
Idriss Déby,chad,798286150,15.4,C
Saleh Kebzabo,chad,798626040,15.4,C
Moussa Faki,chad,799043301,15.4,C
Template:Chad-politician-stub,chad,799373925,15.4,Stub
Kalzeubet Pahimi Deubet,chad,799413193,15.4,Start
Haroun Kabadi,chad,799447895,15.4,Start
Nagoum Yamassoum,chad,799447995,15.4,Start
Outel Bono,chad,799448338,15.4,Start
Ahmat Acyl,chad,799902492,15.4,C
Djimrangar Dadnadji,chad,800133552,15.4,Start
